seed, n_targets, budget, horizon, do_regret,baseline_middle_regret, baseline_random_regret, baseline_maximin_regret, baseline_RARL_regret_regretn_eval, agent_n_train, nature_n_train, max_epochs, n_perturb,max_interval, wildlife, deterrence, use_wake,freeze_policy_step, freeze_a_step, middle_time, maximin_time, do_time,time
0, 4, 2, 3, 0.14079,0.21851, 0.85457, 0.30550, 0.24458,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.6109309196472168, 18.306376934051514, 1320.2032718658447,20-07-2023_11:57:14
0, 4, 2, 3, 0.07899,0.29904, 0.77845, 0.26349, 0.34573,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.19555974006652832, 20.973035097122192, 223.32967019081116,20-07-2023_14:59:04
0, 4, 2, 3, 0.07899,0.29904, 0.77845, 0.26348, 0.34572,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.203568696975708, 18.836209058761597, 228.57481598854065,20-07-2023_17:43:56
0, 4, 2, 3, 0.07899,0.29904, 0.77845, 0.26353, 0.34569,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.19222307205200195, 18.523396968841553, 207.9241349697113,20-07-2023_17:48:03
0, 4, 2, 3, 0.21306,0.29904, 0.77845, 0.26349, 0.34571,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.19014286994934082, 20.748494148254395, 234.50994277000427,20-07-2023_18:17:47
0, 4, 2, 3, 0.21370,0.29904, 0.77845, 0.26350, 0.34571,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.20103788375854492, 20.153794050216675, 225.37519216537476,20-07-2023_18:23:55
0, 4, 2, 3, 0.21370, 0.016910.29904, 0.02007, 0.77845, 0.88052, 0.26350,0.20648, 0.34571,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.20103788375854492, 20.153794050216675, 225.37519216537476, logging,20-07-2023_18:23:55
0, 4, 2, 3, 0.07899,0.29904, 0.77845, 0.26348, 0.34570,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.28088903427124023, 20.44745898246765, 211.30300307273865,20-07-2023_18:30:33
0, 4, 2, 3, 0.07899, 0.021830.29904, 0.03547, 0.77845, 0.89593, 0.26348,0.22187, 0.34570,20, 50, 50, 1, 0,2.0, 1, 1, True,5, 5, 0.28088903427124023, 20.44745898246765, 211.30300307273865, poaching,20-07-2023_18:30:33
0, 4, 2, 3, 0.12896,0.33302, 0.78372, 0.39120, 0.39974,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.21386504173278809, 18.698755025863647, 4261.122987031937,20-07-2023_19:51:10
0, 4, 2, 3, 0.12896, 0.147630.33302, 0.11921, 0.78372, 0.97966, 0.39120,0.36782, 0.39974,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.21386504173278809, 18.698755025863647, 4261.122987031937, poaching,20-07-2023_19:51:10
0, 4, 2, 3, 0.15633,0.14133, 0.93691, 0.37069, 0.44537,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.19040799140930176, 17.660797119140625, 1341.3495609760284,20-07-2023_20:23:12
0, 4, 2, 3, 0.15633, 0.094210.14133, 0.25872, 0.93691, 0.97954, 0.37069,0.30550, 0.44537,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.19040799140930176, 17.660797119140625, 1341.3495609760284, logging,20-07-2023_20:23:12
0, 4, 2, 3, 0.15681,0.15973, 0.96805, 0.38637, 0.44537,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.22032499313354492, 20.033593893051147, 1359.136234998703,20-07-2023_23:50:49
0, 4, 2, 3, 0.12896,0.33300, 0.78370, 0.39115, 0.39972,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.18801093101501465, 17.63209295272827, 1331.9375538825989,21-07-2023_00:17:49
0, 4, 2, 3, 0.01958,0.11057, 0.37086, 0.08926, 0.28762,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.7041163444519043, 21.70781397819519, 1390.8154549598694,21-07-2023_10:03:09
0, 4, 2, 3, 0.04720,0.14515, 0.40267, 0.08552, 0.06321,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.20951175689697266, 20.58031177520752, 1597.4279527664185,21-07-2023_10:35:29
0, 4, 2, 3, 0.00699,0.12955, 0.45271, 0.13027, 0.08754,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.19971609115600586, 21.959325313568115, 1601.2357289791107,21-07-2023_21:00:53
0, 4, 2, 3, 0.04747,0.14516, 0.40268, 0.07580, 0.07547,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.19580984115600586, 18.784826278686523, 1380.8265540599823,21-07-2023_21:29:17
0, 4, 2, 3, 0.11196,0.12956, 0.45272, 0.13028, 0.08753,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.20083832740783691, 21.05266308784485, 1320.2328600883484,22-07-2023_00:16:25
0, 4, 2, 3, 0.04723,0.14515, 0.40268, 0.08673, 0.06321,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.1916179656982422, 17.823216676712036, 1368.2711470127106,22-07-2023_00:46:58
0, 4, 2, 3, 0.11765,0.12956, 0.45272, 0.13028, 0.08753,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.2549459934234619, 23.259616136550903, 1460.0461421012878,22-07-2023_18:19:38
0, 4, 2, 3, 0.04748,0.14515, 0.40267, 0.07579, 0.07543,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.17654132843017578, 17.537943124771118, 1402.916869878769,22-07-2023_18:51:05
0, 4, 2, 3, 0.11769,0.12953, 0.45269, 0.13024, 0.08756,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.349323034286499, 34.27118897438049, 2350.0059130191803,22-07-2023_20:00:21
0, 4, 2, 3, 0.04795,0.14516, 0.40267, 0.08675, 0.07155,20, 50, 50, 5, 0,2.0, 1, 1, True,5, 5, 0.5669279098510742, 28.60365390777588, 1995.1571950912476,22-07-2023_22:46:43
0, 4, 2, 3, -0.00000,0.13002, 0.31593, 0.16638, 0.21763,100, 100, 100, 5, 0,2.0, 1, 1, True,5, 5, 0.8203291893005371, 26.198978900909424, 2738.4016139507294,23-07-2023_02:29:50
0, 4, 2, 3, -0.00000,0.12701, 0.36108, 0.18363, 0.25541,100, 100, 100, 5, 0,2.0, 1, 1, True,5, 5, 1.4269521236419678, 44.92580008506775, 4830.392945289612,23-07-2023_04:20:21
0, 9, 5, 3, 0.00922,0.02922, 0.98306, 0.39287, 0.75275,50, 100, 100, 5, 0,2.0, 1, 1, True,5, 5, 0.46123409271240234, 30.029000997543335, 3145.664336204529,23-07-2023_11:40:54
0, 9, 5, 3, 0.12970,0.30142, 0.82411, 0.22766, 0.55328,20, 100, 100, 5, 0,2.0, 1, 1, True,5, 5, 0.21556925773620605, 30.455817937850952, 3076.202849149704,23-07-2023_12:52:15
